Gene.name,HGNC.symbol
Entpd5,ENTPD5
Tmem225,TMEM225
Ppm1h,PPM1H
Trim6,TRIM6
Tfap2b,TFAP2B
Kctd18,KCTD18
Klhl31,KLHL31
Grk5,GRK5
Stx3,STX3
Aph1a,APH1A
Nono,NONO
Dgat1,DGAT1
Dhrs4,DHRS4
Dhrs4,DHRS4L2
Prmt7,PRMT7
Hnrnpll,HNRNPLL
Ip6k1,IP6K1
Armc2,ARMC2
Cbx1,CBX1
Tnfsf14,TNFSF14
Gal3st1,GAL3ST1
Ephb3,EPHB3
Rin1,RIN1
Tmem28,FAM155B
Unc119b,UNC119B
H2-M10.3,HLA-F
Akna,AKNA
Ppp1r14b,PPP1R14B
Arx,ARX
Cask,CASK
Cct4,CCT4
Hacd3,HACD3
Prlr,PRLR
Rnf130,RNF130
Slit1,SLIT1
Sil1,SIL1
Cox5a,COX5A
Klhl24,KLHL24
Atg2a,ATG2A
Mrpl3,MRPL3
Cspg4,CSPG4
Cramp1l,CRAMP1
Top3b,TOP3B
Trmt61a,TRMT61A
3830403N18Rik,SYCP3
Uvrag,UVRAG
Dele1,DELE1
Hbq1a,HBQ1
Pcyt1b,PCYT1B
Clrn2,CLRN2
Dhx32,DHX32
Cdcp1,CDCP1
Pcdhb19,PCDHB11
Pcdhb19,PCDHB12
Slc20a1,SLC20A1
Snord60,SNORD60
Pigq,PIGQ
Pwwp2b,PWWP2B
Rgs9bp,RGS9BP
Snx10,SNX10
1810037I17Rik,C4orf3
Ints12,INTS12
Aasdhppt,AASDHPPT
Olfr272,OR13C8
Rgs3,RGS3
1700017B05Rik,C15orf39
Pacs2,PACS2
Slc52a3,SLC52A3
Tsc22d3,TSC22D3
Dppa4,DPPA4
Siglece,SIGLEC8
Siglece,SIGLEC12
Serpinb6c,SERPINB6
Parm1,PARM1
Ccin,CCIN
Stk10,STK10
Tal2,TAL2
Anapc10,ANAPC10
Hkdc1,HKDC1
Tada2b,TADA2B
Cd5l,CD5L
Mmd,MMD
Klri1,KLRC3
Mpdz,MPDZ
Smcr8,SMCR8
Ntng2,NTNG2
Vars2,VARS2
Asb10,ASB10
Sgce,SGCE
Acad8,ACAD8
Itga2,ITGA2
Nsg2,NSG2
Ccdc88c,CCDC88C
Ccl4,CCL4L2
Orm2,ORM2
Slc6a8,SLC6A8
Timm9,TIMM9
Gm23969,SNORD24
Cldn9,CLDN9
Tubb4b,TUBB4B
Zfp365,ZNF365
Gdi2,GDI2
Slc6a17,SLC6A17
Fgg,FGG
Syce1l,SYCE1L
Prm2,PRM2
Fli1,FLI1
Ckap2l,CKAP2L
L3mbtl3,L3MBTL3
Chac2,CHAC2
Arhgap17,ARHGAP17
Ccdc120,CCDC120
Ostc,OSTC
Taf7,TAF7
Slc35c1,SLC35C1
Ly6k,LY6K
Tmem177,TMEM177
Ptcd2,PTCD2
Psca,PSCA
Fam3c,FAM3C
Sult2a6,SULT2A1
Mir29a,MIR29A
Kctd16,KCTD16
Prkdc,PRKDC
Pdzd4,PDZD4
Atp6v1h,ATP6V1H
Crip1,CRIP1
Siglecf,CD33
Siglecf,SIGLEC6
Soat2,SOAT2
1700029I15Rik,C11orf94
Ralgds,RALGDS
Prr9,PRR9
Ang5,ANG
Cwh43,CWH43
Trim29,TRIM29
Mypop,MYPOP
Dnajc17,DNAJC17
Sorbs2,SORBS2
1110008P14Rik,C9orf16
Pomk,POMK
Dhrs1,DHRS1
Slc35d1,SLC35D1
Fbxw5,FBXW5
Mfap1a,MFAP1
Rbp4,RBP4
Cox7a2l,COX7A2L
Ceacam19,CEACAM19
Zfp449,ZNF449
Zfp128,ZNF8
Fbxl17,FBXL17
Pla2g4c,PLA2G4C
Tnfrsf11b,TNFRSF11B
Irgm1,IRGM
Olig3,OLIG3
Uba6,UBA6
Zbtb6,ZBTB6
Kynu,KYNU
Fam110c,FAM110C
Kcnj12,KCNJ18
Dnaaf3,DNAAF3
Sis,SI
Nkd1,NKD1
Noc4l,NOC4L
Sec14l3,SEC14L3
Pax4,PAX4
Gk5,GK5
Tbc1d32,TBC1D32
Rpf1,RPF1
Fam83g,FAM83G
Srsf7,SRSF7
Cd2,CD2
Bfsp2,BFSP2
Bop1,BOP1
Dnaaf1,DNAAF1
Casd1,CASD1
Olfr461,OR9A1P
Ppp1r3f,PPP1R3F
Tmem35b,TMEM35B
Krt72,KRT72
Mrpl40,MRPL40
Ctnnal1,CTNNAL1
Ranbp17,RANBP17
Ldah,LDAH
Raver2,RAVER2
Oog4,PRAMEF5
Oog4,PRAMEF33
Oog4,PRAMEF7
Oog4,PRAMEF8
Rapgef4,RAPGEF4
Pmch,PMCH
Cox6a2,COX6A2
Thumpd2,THUMPD2
Plekhm1,PLEKHM1
Ptgfr,PTGFR
Olfr160,OR8A1
4930550C14Rik,C11orf65
Aldh1l2,ALDH1L2
Myot,MYOT
Rhbdl2,RHBDL2
Bcr,BCR
Pdzrn3,PDZRN3
Ttl,TTL
Pacs1,PACS1
Taf6,TAF6
Srgn,SRGN
Endod1,ENDOD1
Arhgdib,ARHGDIB
Tbc1d10b,TBC1D10B
Rnase1,RNASE1
Rnd2,RND2
Slc39a4,SLC39A4
Fam120a,FAM120A
Psmc4,PSMC4
Csrnp3,CSRNP3
Ssbp2,SSBP2
Rccd1,RCCD1
Pprc1,PPRC1
Yme1l1,YME1L1
Epha2,EPHA2
Fktn,FKTN
Gcc1,GCC1
Palb2,PALB2
Zc3h6,ZC3H6
Aadac,AADAC
Serpina3a,SERPINA3
Serpinb1a,SERPINB1
Fstl5,FSTL5
Grid2,GRID2
Srl,SRL
Ear6,RNASE2
Rlbp1,RLBP1
Spata18,SPATA18
Mroh2b,MROH2B
Sgsh,SGSH
Mzf1,MZF1
Pah,PAH
Gm25581,RNU1-89P
Calcr,CALCR
Hipk2,HIPK2
Npdc1,NPDC1
Fbxo30,FBXO30
Ethe1,ETHE1
Gcat,GCAT
Ano4,ANO4
Calm4,CALML5
Romo1,ROMO1
Wfikkn2,WFIKKN2
Lrrc25,LRRC25
Serpinb9c,SERPINB9
Ptprf,PTPRF
Ttll7,TTLL7
Npc1l1,NPC1L1
Dnah17,DNAH17
Sh3rf3,SH3RF3
Tcf21,TCF21
Arl15,ARL15
Ptpn4,PTPN4
Ces1g,CES1
Stmn2,STMN2
Abca2,ABCA2
Trim24,TRIM24
C5ar1,C5AR1
Rprml,RPRML
Ntrk3,NTRK3
Arhgap25,ARHGAP25
Tph2,TPH2
Mki67,MKI67
Klk1b1,KLK1
Gngt1,GNGT1
Mir30b,MIR30B
Atg3,ATG3
Macc1,MACC1
Myrfl,MYRFL
Slurp1,SLURP1
Ppp2r3a,PPP2R3A
Herc2,HERC2
Usp8,USP8
Hsd3b3,HSD3B2
Strn4,STRN4
Ell2,ELL2
Tpbg,TPBG
Mrrf,MRRF
Tmem131l,TMEM131L
Tmcc3,TMCC3
Zmynd10,ZMYND10
Fam210b,FAM210B
Topors,TOPORS
Nxt2,NXT2
Aggf1,AGGF1
Tspan2,TSPAN2
Slu7,SLU7
Gnmt,GNMT
Lmo2,LMO2
D630045J12Rik,KIAA1549
Zmym4,ZMYM4
Snx12,SNX12
Inpp1,INPP1
Utp23,UTP23
Pgrmc2,PGRMC2
Lrrk1,LRRK1
Tmem160,TMEM160
Galnt6,GALNT6
Tnfsf15,TNFSF15
Gstcd,GSTCD
Smim12,SMIM12
Nsmf,NSMF
Cad,CAD
Cabp5,CABP5
Slc28a1,SLC28A1
Vcam1,VCAM1
Nsd3,NSD3
Cdhr4,CDHR4
Ubl4b,UBL4B
Mybpc2,MYBPC2
Kpna1,KPNA1
Hgh1,HGH1
Lrrtm2,LRRTM2
Zfp11,ZNF345
Mag,MAG
Mrpl19,MRPL19
Bex1,BEX2
Etv4,ETV4
Pgm2,PGM2
Appl2,APPL2
Agbl3,AGBL3
Psmb2,PSMB2
Fam13b,FAM13B
Pop4,POP4
Pdha2,PDHA2
Kcnn2,KCNN2
Atp10d,ATP10D
Ctag2,CTAG1A
Ctag2,CTAG1B
Ctag2,CTAG2
Ggt5,GGT5
Krt14,KRT14
Smc5,SMC5
Cd72,CD72
Gys1,GYS1
Nr5a1,NR5A1
Cd248,CD248
Fam163b,FAM163B
Acap2,ACAP2
Cpa1,CPA1
Simc1,SIMC1
Ppp1r3e,PPP1R3E
Lbh,LBH
Cacng1,CACNG1
B9d2,B9D2
Rdh8,RDH8
Slc7a9,SLC7A9
Prmt5,PRMT5
Nectin3,NECTIN3
Map11,TRAPPC14
Afap1l2,AFAP1L2
Bcar3,BCAR3
Gm23626,SNORA9
Abraxas2,ABRAXAS2
Mrgbp,MRGBP
Gm4779,CXorf49B
Gm4779,CXorf49
Rasl10a,RASL10A
Ddx21,DDX21
Arl9,ARL9
Zfp786,ZNF786
Pced1a,PCED1A
Txk,TXK
Mtmr11,MTMR11
Barx2,BARX2
Ppp2r2c,PPP2R2C
Mrgprg,MRGPRG
Armc12,ARMC12
Prss35,PRSS35
Ssbp4,SSBP4
Ranbp2,RANBP2
Lyrm4,LYRM4
Chic2,CHIC2
Plag1,PLAG1
Bbx,BBX
Mfsd4b1,MFSD4B
Tbx2,TBX2
Lcor,LCOR
Septin12,SEPTIN12
Gskip,GSKIP
Ehmt1,EHMT1
Cd180,CD180
Zhx2,ZHX2
Tmem268,TMEM268
Smco4,SMCO4
Rnpc3,RNPC3
Aqp3,AQP3
Dbr1,DBR1
Dact1,DACT1
Ndufs7,NDUFS7
Wdcp,WDCP
Apol7b,APOL3
Apol7b,APOL4
P2rx6,P2RX6
Psme4,PSME4
Pcyox1,PCYOX1
Calhm4,CALHM4
Tbx1,TBX1
C9,C9
Gm22972,SNORA75B
Tmem147,TMEM147
Fiz1,FIZ1
Fam160a2,FAM160A2
Tmem151a,TMEM151A
Gm22577,RNU6-854P
Sbspon,SBSPON
Tspan3,TSPAN3
Glra3,GLRA3
Sit1,SIT1
Odf2l,ODF2L
Ctcf,CTCF
Wfdc1,WFDC1
Agbl4,AGBL4
Myo1g,MYO1G
Fam227a,FAM227A
Laptm4a,LAPTM4A
Cpxm1,CPXM1
Spag9,SPAG9
Pvr,PVR
Fam83h,FAM83H
Zfp280c,ZNF280C
Rpl22l1,RPL22L1
Reck,RECK
Chst15,CHST15
Ckm,CKM
Mns1,MNS1
Ppcdc,PPCDC
Gm45837,PDE2A
Mid1,MID1
Rab24,RAB24
Psmb10,PSMB10
Dctn3,DCTN3
Cdc40,CDC40
Gsc,GSC
Josd1,JOSD1
Tafa4,TAFA4
Scaper,SCAPER
Alg1,ALG1L2
Cped1,CPED1
Rarg,RARG
Tmem252,TMEM252
Asic1,ASIC1
Rtn2,RTN2
Greb1,GREB1
Mmp8,MMP8
Pcdh19,PCDH19
Dcxr,DCXR
Sulf1,SULF1
Neurl2,NEURL2
Snai3,SNAI3
Ace2,ACE2
Pdzk1,PDZK1
Zswim8,ZSWIM8
Exoc3l4,EXOC3L4
Slc9b1,SLC9B1
Snrnp200,SNRNP200
Klhl11,KLHL11
Zfp74,ZNF569
Atp10b,ATP10B
Lmnb1,LMNB1
Atxn3,ATXN3L
1110038F14Rik,C8orf33
Gm5414,KRT6C
Gm5414,KRT6A
Mir30d,MIR30D
Hpgd,HPGD
Mir486,MIR486-1
Tekt5,TEKT5
Lpar4,LPAR4
Parp8,PARP8
Rexo2,REXO2
Arih1,ARIH1
Bmp5,BMP5
Lrrcc1,LRRCC1
Mcur1,MCUR1
Gm24145,RNU1-101P
Cd82,CD82
Apool,APOOL
Dvl3,DVL3
Esyt3,ESYT3
Gm10318,KRTAP9-1
Ap4e1,AP4E1
Aar2,AAR2
Ogfr,OGFR
Sft2d1,SFT2D1
Ddx51,DDX51
Drc1,DRC1
Cyp2d40,CYP2D6
Clmn,CLMN
Tmem74b,TMEM74B
Enho,ENHO
Gzmg,GZMH
Gzmg,GZMB
Hrc,HRC
Cdt1,CDT1
Akap14,AKAP14
Top1mt,TOP1MT
Bub3,BUB3
Cep152,CEP152
Sytl1,SYTL1
Tmf1,TMF1
Racgap1,RACGAP1
Try5,PRSS1
Mrs2,MRS2
Srsf3,SRSF3
Tmed10,TMED10
Ahcyl2,AHCYL2
Fam107a,FAM107A
Dyrk2,DYRK2
Dgkg,DGKG
Bach2,BACH2
Mir34c,MIR34C
Gipc2,GIPC2
Trim75,TRIM22
Abcf2,ABCF2-H2BE1
Abcf2,ABCF2
Sptbn1,SPTBN1
Rnf26,RNF26
Sdr42e1,SDR42E1
Rars,RARS1
Serp1,SERP1
Senp5,SENP5
Armcx5,ARMCX5
Gpr20,GPR20
Gm24143,SNORA38
Satl1,SATL1
Epha10,EPHA10
Upk2,UPK2
Tm9sf1,TM9SF1
Pcbd2,PCBD2
Coq9,COQ9
Tspyl1,TSPYL1
Srgap1,SRGAP1
Cdk20,CDK20
Sdk2,SDK2
Ambn,AMBN
Gimap5,GIMAP1-GIMAP5
Olfr578,OR51G1
Vps16,VPS16
Plcb2,PLCB2
Gm25811,RNU6-618P
Rpf2,RPF2
Aldh1b1,ALDH1B1
Kat8,KAT8
Map3k5,PAK4
Metrn,METRN
Gm26111,RNU6-925P
Cfap206,CFAP206
Gm22576,RNU6-581P
Gm22576,RNU6-1218P
Endov,ENDOV
Acsl4,ACSL4
Zfp740,ZNF740
Mir496a,MIR496
Trabd2b,TRABD2B
Cldn18,CLDN18
Serpina9,SERPINA9
Ubn1,UBN1
Slc2a2,SLC2A2
Slc35e3,SLC35E3
Fam90a1b,FAM90A14P
Fam90a1b,FAM90A26
Htr5a,HTR5A
Pcdhb9,PCDHB4
Gm26064,RNU6-144P
Lysmd1,LYSMD1
Tjp2,TJP2
Taf11,LINC02218
Taf11,TAF11L14
Taf11,TAF11L6
Taf11,TAF11
Taf11,TAF11L12
Taf11,TAF11L13
Taf11,TAF11L10
Ror1,ROR1
Ppm1b,PPM1B
Cep68,CEP68
Opn1mw,OPN1MW2
Vwa5a,VWA5A
Ciao3,CIAO3
Spatc1,SPATC1
Zc2hc1c,ZC2HC1C
Tspan8,TSPAN8
Upk1b,UPK1B
Ins1,INS
Car10,CA10
Sertad1,SERTAD1
Exosc4,EXOSC4
Strbp,STRBP
Coprs,COPRS
St6galnac5,ST6GALNAC5
Tpst1,TPST1
Mrgpre,MRGPRE
Pank2,PANK2
Pcm1,PCM1
Tbc1d21,TBC1D21
Lipm,LIPM
Rhov,RHOV
Fbxl12,FBXL12
4932415D10Rik,C2orf16
Gatm,GATM
Ttf2,TTF2
4930444P10Rik,C8orf89
Nxf7,NXF2
Nxf7,NXF2B
Uba3,UBA3
Hsd17b14,HSD17B14
Il17f,IL17F
Frem1,FREM1
Etfb,ETFB
Liph,LIPH
Ociad2,OCIAD2
Lama2,LAMA2
Rab1a,RAB1A
Dynlrb2,DYNLRB2
Oaf,OAF
Mir134,MIR134
Bmt2,BMT2
Chmp4c,CHMP4C
Esf1,ESF1
Spcs1,SPCS1
Dcaf5,DCAF5
Ofd1,OFD1
Cuzd1,CUZD1
Tlr8,TLR8
Ahcyl1,AHCYL1
Htr1b,HTR1B
Gm25201,RNU1-64P
Muc20,MUC20
Timp2,TIMP2
Baat,BAAT
Shoc2,SHOC2
Ptk7,PTK7
Sf3b2,SF3B2
Il12a,IL12A
Il31,IL31
Lrp1,LRP1
Foxc2,FOXC2
Lipc,LIPC
Nsun7,NSUN7
Gm24164,RNU6-1112P
Cmtm7,CMTM7
Gemin8,GEMIN8
Becn1,BECN1
Cox8a,COX8A
Cfap221,CFAP221
Mpv17l2,MPV17L2
Gpkow,GPKOW
Frmpd3,FRMPD3
Ptgfrn,PTGFRN
Prmt9,PRMT9
Gm26130,SNORA29
Pdgfra,PDGFRA
Smim10l2a,SMIM10L2B
Smim10l2a,SMIM10L2A
Synpr,SYNPR
Ptrh1,PTRH1
B3gnt8,B3GNT8
Ptcra,PTCRA
Supt7l,SUPT7L
Kdm4a,KDM4A
Trpm7,TRPM7
Tead2,TEAD2
Slc33a1,SLC33A1
Srbd1,SRBD1
Lilra6,LILRB4
Cav2,CAV2
Utp11,UTP11
Ikzf5,IKZF5
Ttc5,TTC5
Scrib,SCRIB
Sec61a1,SEC61A1
Socs2,SOCS2
Rmi2,RMI2
Mtss2,MTSS2
Mgmt,MGMT
Cog7,COG7
Ankrd53,ANKRD53
Ankdd1a,ANKDD1A
Ccr7,CCR7
Myh7,MYH7
Cd200r1,CD200R1L
Cd200r1,CD200R1
Efemp2,EFEMP2
Gpr108,GPR108
Mrpl44,MRPL44
Edil3,EDIL3
Olfr177,OR5K3
Hhip,HHIP
Nudcd2,NUDCD2
Tacr1,TACR1
Crh,CRH
Abl1,ABL1
Psmb7,PSMB7
Actr1a,ACTR1A
Ankrd27,ANKRD27
Arfrp1,ARFRP1
Mccc1,MCCC1
Ppfia3,PPFIA3
Gins4,GINS4
Nagk,NAGK
Hs6st1,HS6ST1
Corin,CORIN
Mageb1,MAGEB6B
Mageb1,MAGEB6
Aspdh,ASPDH
Rpl18a,RPL18A
Mir146b,MIR146B
Kcnk13,KCNK13
Pde1c,PDE1C
Arsb,ARSB
Fcgr1,FCGR1B
Klhl21,KLHL21
Adgrl4,ADGRL4
Idh3g,IDH3G
Pudp,PUDP
Zfp37,ZFP37
Zmynd12,ZMYND12
Pnliprp1,PNLIPRP1
Mug2,PZP
Smarcd3,SMARCD3
Crhbp,CRHBP
Rab1b,RAB1B
Iqcb1,IQCB1
Ate1,ATE1
Ets1,ETS1
Irx5,IRX5
Lat,LAT
Jakmip2,JAKMIP2
Zfp467,ZNF467
Tcap,TCAP
Dmtf1,DMTF1
Mcm6,MCM6
Zfyve28,ZFYVE28
Ube2b,UBE2B
Selenop,SELENOP
Negr1,NEGR1
Hamp,HAMP
Etnppl,ETNPPL
Gab1,GAB1
Gpr174,GPR174
Card9,CARD9
Usp20,USP20
Slc17a3,SLC17A3
Cse1l,CSE1L
Ifnl3,IFNL3
Ifnl3,IFNL2
Fgf21,FGF21
Slc16a10,SLC16A10
Ubr5,UBR5
Nos2,NOS2
Opa3,OPA3
Slc51a,SLC51A
Nck2,NCK2
Kcnk6,KCNK6
Khdrbs2,KHDRBS2
Tti2,TTI2
Mrpl46,MRPL46
Anp32a,ANP32A
Ehd3,EHD3
Hcn4,HCN4
Golgb1,GOLGB1
Itgav,ITGAV
9330159F19Rik,KIAA0408
Dennd6a,DENND6A
Nr2c2ap,NR2C2AP
Rexo4,REXO4
Nek1,NEK1
Lhfpl2,LHFPL2
Ablim1,ABLIM1
Chtf8,CHTF8
Ciz1,CIZ1
Scarf2,SCARF2
Mapk3,MAPK3
Emp3,EMP3
Kbtbd3,KBTBD3
Ly6e,LY6E
Traip,TRAIP
Trh,TRH
Zbtb42,ZBTB42
Prpf3,PRPF3
Ppp1r14c,PPP1R14C
Scamp2,SCAMP2
Macrod1,MACROD1
Eif2b2,EIF2B2
Msantd4,MSANTD4
Rfpl4,RFPL4A
Rfpl4,RFPL4AL1
Rap1gds1,RAP1GDS1
Gm23975,RNU6-756P
Gm23975,RNU6-359P
Gm23975,RNU6-891P
Gdf15,GDF15
Tbx3,TBX3
Mybphl,MYBPHL
Pgam1,PGAM4
Ddx19b,DDX19B
Rbm42,RBM42
Nr1d2,NR1D2
Kifc2,KIFC2
Cyp7a1,CYP7A1
Lhfpl5,LHFPL5
Matn3,MATN3
Zfp292,ZNF292
9530077C05Rik,KIAA0895
Ankk1,ANKK1
Zyg11a,ZYG11A
Ankrd1,ANKRD1
Sv2c,SV2C
Smg1,SMG1
Vstm2b,VSTM2B
Cryab,CRYAB
Izumo1,IZUMO1
Pknox2,PKNOX2
Gstm3,GSTM1
Crebrf,CREBRF
Sap30l,SAP30L
Rnf215,RNF215
Plpp7,PLPP7
Slc9c1,SLC9C1
Ehbp1l1,EHBP1L1
Arl4d,ARL4D
Ccp110,CCP110
Ccdc107,CCDC107
Spef1,SPEF1
Morf4l2,MORF4L2
Drap1,DRAP1
Nlrp14,NLRP14
Evl,EVL
Sertad2,SERTAD2
Upk1a,UPK1A
Phf14,PHF14
Slc7a11,SLC7A11
F9,F9
Limch1,LIMCH1
Ppp1r42,PPP1R42
Ezr,EZR
Gphn,GPHN
Arhgap39,ARHGAP39
Med26,MED26
Lmbrd1,LMBRD1
Il17b,IL17B
Spic,SPIC
Yeats2,YEATS2
Serpina5,SERPINA5
Zfp592,ZNF592
Slc5a6,SLC5A6
Col26a1,COL26A1
Ggn,GGN
Neil1,NEIL1
Fabp7,FABP7
Moxd1,MOXD1
Tigd4,TIGD4
Tnfaip2,TNFAIP2
Rhbdd3,RHBDD3
Cdk5rap2,CDK5RAP2
Eif2b5,EIF2B5
Plod2,PLOD2
Ap1s2,AP1S2
Fam199x,FAM199X
Ndufab1,NDUFAB1
Kcnc1,KCNC1
Wdr77,WDR77
Padi4,PADI4
Pkd1l1,PKD1L1
Mfsd8,MFSD8
Rspo3,RSPO3
Tbc1d9,TBC1D9
Trim42,TRIM42
Pigk,PIGK
Arhgef17,ARHGEF17
Immp2l,IMMP2L
Spata4,SPATA4
Tmem132d,TMEM132D
Nolc1,NOLC1
Kcnj9,KCNJ9
Gnaz,GNAZ
Eif2a,EIF2A
Acat1,ACAT1
Ufsp2,UFSP2
Mir370,MIR370
Cbln3,CBLN3
Elovl3,ELOVL3
Arhgef1,ARHGEF1
Btbd16,BTBD16
Eml1,EML1
Cachd1,CACHD1
Hpd,HPD
Rft1,RFT1
Gnas,GNAS
Cyba,CYBA
Acox2,ACOX2
Kcnq4,KCNQ4
Mrpl49,MRPL49
Ppp2r1a,PPP2R1A
H1f2,H1-2
Tmem184c,TMEM184C
Cacna2d3,CACNA2D3
Rin3,RIN3
Pla2g2d,PLA2G2D
Slc16a8,SLC16A8
Zc3hc1,ZC3HC1
Enkd1,ENKD1
Rps5,RPS5
Sesn3,SESN3
Pkmyt1,PKMYT1
Cyp3a25,CYP3A5
Cyp3a25,CYP3A7
Cyp3a25,CYP3A4
Cyp3a25,CYP3A43
Tnfsf4,TNFSF4
Nt5c3b,NT5C3B
Prdx4,PRDX4
Slc22a12,SLC22A12
Gse1,GSE1
Popdc3,POPDC3
Ap3d1,AP3D1
B4galt4,B4GALT4
Gm136,C6orf163
Slco5a1,SLCO5A1
Zfp512,ZNF512
Cdkl3,CDKL3
Sptlc1,SPTLC1
Tecpr1,TECPR1
Spsb3,SPSB3
Yeats4,YEATS4
Pgpep1,PGPEP1
Cdc25b,CDC25B
Actrt1,ACTRT1
Pkn1,PKN1
Hnrnpa0,HNRNPA0
3425401B19Rik,C10orf71
Shisal2b,SHISAL2B
Macroh2a1,MACROH2A1
Daam1,DAAM1
Rhobtb2,RHOBTB2
Pde4d,PDE4D
Apln,APLN
Sort1,SORT1
Abitram,ABITRAM
Zswim6,ZSWIM6
Nrf1,NRF1
Panx3,PANX3
Dgkq,DGKQ
Ift57,IFT57
Uqcrq,UQCRQ
Rarres2,RARRES2
Cmya5,CMYA5
Paip2b,PAIP2B
Cercam,CERCAM
Ptk2b,PTK2B
Uros,UROS
Efcab1,EFCAB1
Slco4a1,SLCO4A1
Areg,AREG
Wdr20rt,WDR20
Gstt4,GSTT4
Prss8,PRSS8
Mxd3,MXD3
Ppp3cc,PPP3CC
BC053393,HAVCR1
Tprg,TPRG1
Smyd5,SMYD5
Fto,FTO
Eif5a2,EIF5A2
Elk3,ELK3
Plek,PLEK
Tmem254a,TMEM254
Zfp369,ZNF274
Nck1,NCK1
Kars,KARS1
Mex3b,MEX3B
Zar1,ZAR1
Naa10,NAA10
Cd36,CD36
Ppp1r12c,PPP1R12C
Sntb2,SNTB2
Iqcg,IQCG
Calb1,CALB1
Rab39,RAB39A
Crnkl1,CRNKL1
Zfp286,ZNF286A
Cx3cl1,CX3CL1
Serinc1,SERINC1
Phtf1,PHTF1
Slirp,SLIRP
Grik3,GRIK3
Tmem231,TMEM231
Erich5,ERICH5
Eps8l1,EPS8L1
Chd7,CHD7
Eddm3b,EDDM3A
Eddm3b,EDDM3B
Uqcrfs1,UQCRFS1
Fam180a,FAM180A
Ess2,ESS2
Cpm,CPM
Skil,SKIL
Flad1,FLAD1
Efr3b,EFR3B
Dhx40,DHX40
Zbtb26,ZBTB26
Adcy8,ADCY8
Ndufb6,NDUFB6
Plcg2,PLCG2
Sema4f,SEMA4F
Czib,CZIB
Dnali1,DNALI1
Nubp1,NUBP1
Cd79a,CD79A
Arhgef37,ARHGEF37
Nr1d1,NR1D1
Ms4a15,MS4A15
Hcfc1,HCFC1
Tmem179,TMEM179
Ccdc39,CCDC39
B4galnt1,B4GALNT1
Ptges,PTGES
Btnl9,BTNL9
Zfhx2,ZFHX2
Nhlh2,NHLH2
Camkmt,CAMKMT
Ddx58,DDX58
Nudt6,NUDT6
Ccl24,CCL24
Perp,PERP
Nt5dc1,NT5DC1
Mkln1,MKLN1
Snap29,SNAP29
Sav1,SAV1
Mecp2,MECP2
Rps3a1,RPS3A
Retsat,RETSAT
Snip1,SNIP1
Ptbp3,PTBP3
Tmem116,TMEM116
A1bg,A1BG
Gm23102,RNU5F-7P
Atp6v1c1,ATP6V1C1
Ctcfl,CTCFL
Zp2,ZP2
Mtf1,MTF1
Mcm2,MCM2
Mcmdc2,MCMDC2
Fxn,FXN
Urm1,URM1
Cabin1,CABIN1
Lama4,LAMA4
Tor1a,TOR1A
Ccdc33,CCDC33
Ebf4,EBF4
Rfwd3,RFWD3
Lman2,LMAN2
Zdhhc19,ZDHHC19
Cldn6,CLDN6
Lrrc34,LRRC34
Prss48,PRSS48
Il25,IL25
Adipoq,ADIPOQ
Slc35f2,SLC35F2
Rimkla,RIMKLA
Barhl1,BARHL1
Plekhg2,PLEKHG2
Slc35a1,SLC35A1
Smarce1,SMARCE1
Trdn,TRDN
Bcas2,BCAS2
Chrnb4,CHRNB4
Cdk19,CDK19
Egln2,EGLN2
Mical1,MICAL1
Gng11,GNG11
Ube2e1,UBE2E1
Camsap1,CAMSAP1
Il20rb,IL20RB
Maged1,MAGED1
Pdia5,PDIA5
Sash3,SASH3
Ctnnb1,CTNNB1
Xkr9,XKR9
Psrc1,PSRC1
Igfals,IGFALS
Arhgef19,ARHGEF19
Spdye4a,SPDYE1
Spdye4a,SPDYE3
Fzd6,FZD6
Arhgef12,ARHGEF12
Frrs1l,FRRS1L
Gm24928,RNU6-251P
Klhdc3,KLHDC3
Dph5,DPH5
Rab3a,RAB3A
Tsc1,TSC1
Ripor1,RIPOR1
Ccnb1,CCNB1
Ypel5,YPEL5
Ccdc157,CCDC157
Sntb1,SNTB1
Tbc1d7,TBC1D7
Rnf133,RNF133
Ptpn18,PTPN18
Rab3b,RAB3B
Tmem150a,TMEM150A
Ttyh2,TTYH2
Clvs2,CLVS2
Cyp11a1,CYP11A1
Gm23447,RNU1-45P
Kdm4d,KDM4D
Igfbp2,IGFBP2
Ak8,AK8
Ubqln2,UBQLN2
Haao,HAAO
Fbxo10,FBXO10
Nrcam,NRCAM
Ccr4,CCR4
Mycbpap,MYCBPAP
Erbb4,ERBB4
Abi3,ABI3
Guca1b,GUCA1B
Clasrp,CLASRP
Asb17,ASB17
Acrv1,ACRV1
Car4,CA4
Farsa,FARSA
Abcf3,ABCF3
Zfp706,ZNF706
Ms4a2,MS4A2
Slmap,SLMAP
Fbl,FBL
Fgfr1op2,FGFR1OP2
Galnt10,GALNT10
Mir326,MIR326
Commd10,COMMD10
Taok2,TAOK2
Esr1,ESR1
Atp6v1d,ATP6V1D
Mrto4,MRTO4
Olfr589,OR52E2
Mov10,MOV10
Sh2b3,SH2B3
Klf4,KLF4
Fdft1,FDFT1
Baz1b,BAZ1B
Coro1a,CORO1A
Tcf19,TCF19
Abhd10,ABHD10
Smim9,SMIM9
Ippk,IPPK
Fam78a,FAM78A
Lrrc28,LRRC28
